"","period","month","total_units","d1_total_units","l1_d1_total_units","l12_d1_total_units","ari_forecast","ari_residual","l1_ari_residual","l2_ari_residual","arima_forecast","arima_residual","level_forecast","level_residual"
"1",1,"Jan",1091663.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Feb",983099.1319,-108564.2221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Mar",922851.7481,-60247.3838000001,-108564.2221,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Apr",929093.9548,6242.20669999998,-60247.3838000001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"May",974747.5636,45653.6088,6242.20669999998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Jun",835824.344,-138923.2196,45653.6088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Jul",843919.8124,8095.46840000001,-138923.2196,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Aug",1041069.721,197149.9086,8095.46840000001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Sep",1182406.085,141336.364,197149.9086,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Oct",1187143.413,4737.32799999998,141336.364,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"Nov",1448589.299,261445.886,4737.32799999998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Dec",1760399.769,311810.47,261445.886,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Jan",1251940.671,-508459.098,311810.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Feb",1009316.126,-242624.545,-508459.098,-108564.2221,-65019.275041677,-177605.269958323,NA,NA,NA,NA,NA,NA
"15",15,"Mar",1000165.988,-9150.13800000004,-242624.545,-60247.3838000001,-41695.2166441661,32545.078644166,-177605.269958323,NA,NA,NA,NA,NA
"16",16,"Apr",958894.5373,-41271.4507,-9150.13800000004,6242.20669999998,5599.88533953898,-46871.336039539,32545.078644166,-177605.269958323,9500.21287431259,-50771.6635743126,1009666.20087431,-50771.6635743126
"17",17,"May",946488.2762,-12406.2611,-41271.4507,45653.6088,53215.4633286041,-65621.7244286041,-46871.336039539,32545.078644166,82951.6674891265,-95357.9285891265,1041846.20478913,-95357.9285891264
"18",18,"Jun",945604.305,-883.971199999913,-12406.2611,-138923.2196,-155823.210674848,154939.239474848,-65621.7244286041,-46871.336039539,-120787.342382322,119903.371182322,825700.933817678,119903.371182322
"19",19,"Jul",826478.3445,-119125.9605,-883.971199999913,8095.46840000001,6716.188637196,-125842.149137196,154939.239474848,-65621.7244286041,-58550.8488335763,-60575.1116664237,887053.456166424,-60575.1116664237
"20",20,"Aug",1272819.639,446341.2945,-119125.9605,197149.9086,231009.506102122,215331.788397878,-125842.149137196,154939.239474848,299219.353934742,147121.940565258,1125697.69843474,147121.940565258
"21",21,"Sep",1314640.241,41820.602,446341.2945,141336.364,103863.1441331,-62042.5421331,215331.788397878,-125842.149137196,17811.893057582,24008.708942418,1290631.53205758,24008.708942418
"22",22,"Oct",1319292.313,4652.07200000016,41820.602,4737.32799999998,-1930.88709472002,6582.95909472018,-62042.5421331,215331.788397878,18893.3059276468,-14241.2339276467,1333533.54692765,-14241.2339276467
"23",23,"Nov",1683622.325,364330.012,4652.07200000016,261445.886,288457.20438054,75872.8076194597,6582.95909472018,-62042.5421331,310059.768443964,54270.2435560363,1629352.08144396,54270.2435560364
"24",24,"Dec",1869425.936,185803.611,364330.012,311810.47,303286.64413982,-117483.03313982,75872.8076194597,6582.95909472018,286016.857433203,-100213.246433203,1969639.1824332,-100213.246433203
"25",25,"Jan",1180569.986,-688855.95,185803.611,-508459.098,-590459.2363751,-98396.7136249,-117483.03313982,75872.8076194597,-559751.967039203,-129103.982960797,1309673.9689608,-129103.982960797
"26",26,"Feb",1018310.24,-162259.746,-688855.95,-242624.545,-193722.11465265,31462.36865265,-98396.7136249,-117483.03313982,-138896.400392135,-23363.3456078647,1041673.58560786,-23363.3456078647
"27",27,"Mar",1067223.113,48912.8729999999,-162259.746,-9150.13800000004,6027.14708997996,42885.7259100199,31462.36865265,-98396.7136249,4503.61967283513,44409.2533271648,1022813.85967284,44409.2533271648
"28",28,"Apr",1207515.63,140292.517,48912.8729999999,-41271.4507,-54025.367972019,194317.884972019,42885.7259100199,31462.36865265,-73901.8071227762,214194.324122776,993321.305877224,214194.324122776
"29",29,"May",1130827.792,-76687.838,140292.517,-12406.2611,-32347.131916507,-44340.706083493,194317.884972019,42885.7259100199,-127228.535535283,50540.6975352835,1080287.09446472,50540.6975352834
"30",30,"Jun",1050081.038,-80746.754,-76687.838,-883.971199999913,5413.2907055361,-86160.0447055361,-44340.706083493,194317.884972019,19387.7659807342,-100134.519980734,1150215.55798073,-100134.519980734
"31",31,"Jul",968188.8375,-81892.2004999999,-80746.754,-119125.9605,-125909.557395125,44017.3568951252,-86160.0447055361,-44340.706083493,-79436.3812096939,-2455.81929030603,970644.656790306,-2455.81929030607
"32",32,"Aug",1392564.406,424375.5685,-81892.2004999999,446341.2945,504474.824086285,-80099.255586285,44017.3568951252,-86160.0447055361,519654.824267304,-95279.2557673038,1487843.6617673,-95279.2557673038
"33",33,"Sep",1415791.623,23227.2169999999,424375.5685,41820.602,-4531.59474540003,27758.8117454,-80099.255586285,44017.3568951252,38070.2042297849,-14842.9872297849,1430634.61022978,-14842.987229785
"34",34,"Oct",1452219.318,36427.6950000001,23227.2169999999,4652.07200000016,109.353458760185,36318.3415412399,27758.8117454,-80099.255586285,-1240.61490841399,37668.3099084141,1414551.00809159,37668.309908414
"35",35,"Nov",1788747.011,336527.693,36427.6950000001,364330.012,399479.65215104,-62951.9591510399,36318.3415412399,27758.8117454,404852.634574934,-68324.9415749336,1857071.95257493,-68324.9415749337
"36",36,"Dec",2060165.763,271418.752,336527.693,185803.611,166035.99761815,105382.75438185,-62951.9591510399,36318.3415412399,208871.350091062,62547.4019089384,1997618.36109106,62547.4019089383
"37",37,NA,NA,NA,271418.752,-688855.95,-801356.19850118,NA,105382.75438185,-62951.9591510399,-880904.469228758,NA,1179261.29377124,NA
"38",NA,NA,NA,NA,NA,-162259.746,NA,NA,NA,105382.75438185,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,48912.8729999999,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,140292.517,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,-76687.838,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,-80746.754,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,-81892.2004999999,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,424375.5685,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,23227.2169999999,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,36427.6950000001,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,336527.693,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,271418.752,NA,NA,NA,NA,NA,NA,NA,NA
