"","date","period","forecast_eps","actual_eps","residuals","l1_residuals","l4_residuals","adj_forecast","adj_residuals"
"1","1/15/2015",1,0.49,0.5,0.01,NA,NA,NA,NA
"2","4/16/2015",2,0.48,0.48,0,0.01,NA,NA,NA
"3","7/16/2015",3,0.37,0.5,0.13,0,NA,NA,NA
"4","10/15/2015",4,0.45,0.46,0.01,0.13,NA,NA,NA
"5","1/14/2016",5,0.4,0.43,0.03,0.01,0.01,0.40684261,0.0231573900000001
"6","4/14/2016",6,0.37,0.38,0.01,0.03,0,0.37263558,0.00736442000000009
"7","7/14/2016",7,0.42,0.43,0.01,0.01,0.13,0.46066791,-0.0306679099999999
"8","10/13/2016",8,NA,0.59,NA,0.01,0.01,NA,NA
"9","1/12/2017",9,0.58,0.61,0.03,NA,0.03,NA,NA
"10","4/13/2017",10,0.53,0.54,0.01,0.03,0.01,0.54418628,-0.00418627999999988
"11","7/13/2017",11,0.56,0.42,-0.14,0.01,0.01,0.57566645,-0.15566645
"12","10/19/2017",12,0.56,0.57,0.0099999999999999,-0.14,NA,NA,NA
"13","1/18/2018",13,0.63,0.64,0.01,0.0099999999999999,0.03,0.6549806,-0.0149805999999999
"14","4/19/2018",14,0.6,0.59,-0.01,0.01,0.01,0.61787241,-0.02787241
"15","7/19/2018",15,0.45,0.47,0.02,-0.01,-0.14,0.41852286,0.05147714
"16","10/18/2018",16,NA,0.56,NA,0.02,0.0099999999999999,NA,NA
"17","1/17/2019",17,0.63,0.63,0,NA,0.01,NA,NA
"18","4/18/2019",18,0.38,0.38,0,0,-0.01,0.38019876,-0.000198759999999965
"19","7/18/2019",19,0.42,0.41,-0.01,0,0.02,0.4305853,-0.0205852999999999
"20","10/17/2019",20,NA,0.62,NA,-0.01,NA,NA,NA
"21","1/16/2020",21,0.72,0.73,0.01,NA,0,NA,NA
"22","4/16/2020",22,0.66,0.75,0.09,0.01,0,0.67845449,0.07154551
"23","7/16/2020",23,0.73,0.78,0.05,0.09,-0.01,0.75028526,0.0297147400000002
"24","10/15/2020",24,0.92,0.9,-0.02,0.05,NA,NA,NA
"25","1/14/2021",25,0.92,0.97,0.0499999999999999,-0.02,0.01,0.95525864,0.01474136
"26","4/15/2021",26,0.91,0.96,0.0499999999999999,0.0499999999999999,0.09,0.96713208,-0.00713207999999987
"27","7/15/2021",27,0.89,0.93,0.04,0.0499999999999999,0.05,0.93512166,-0.00512165999999981
"28","10/14/2021",28,1.05,1.08,0.03,0.04,-0.02,1.08477033,-0.00477032999999993
"29","1/13/2022",29,1.12,1.15,0.0299999999999998,0.03,0.0499999999999999,1.17763163,-0.0276316300000001
"30","4/14/2022",30,1.31,1.4,0.0899999999999999,0.0299999999999998,0.0499999999999999,1.37810994,0.02189006
"31","7/14/2022",31,1.5,1.55,0.05,0.0899999999999999,0.04,1.57638429,-0.0263842899999998
"32","10/13/2022",32,1.69,1.79,0.1,0.05,0.03,1.77378714,0.01621286
"33","1/12/2023",33,1.8,1.82,0.02,0.1,0.0299999999999998,1.89028928,-0.0702892799999997
"34","4/20/2023",34,1.21,1.31,0.1,0.02,0.0899999999999999,1.28341533,0.0265846700000001
"35","7/20/2023",35,1.07,1.14,0.0699999999999998,0.1,0.05,1.12548423,0.0145157699999998
"36","10/19/2023",36,1.16,1.29,0.13,0.0699999999999998,0.1,1.23382049,0.0561795100000002
"37","1/18/2024",37,1.37,1.44,0.0699999999999998,0.13,0.02,1.4341098,0.00589020000000007
"38","4/18/2024",38,1.29,1.38,0.0899999999999999,0.0699999999999998,0.1,1.37098986,0.00901014
"39","7/18/2024",39,1.37,1.48,0.11,0.0899999999999999,0.0699999999999998,1.4473955,0.0326045000000001
"40","10/17/2024",40,1.74,1.94,0.2,0.11,0.13,1.85433609,0.0856639099999998
"41","1/16/2025",41,2.16,2.24,0.0800000000000001,0.2,0.0699999999999998,2.28192186,-0.0419218599999991
"42","4/17/2025",42,2.03,2.12,0.0900000000000003,0.0800000000000001,0.0899999999999999,2.14916041,-0.0291604099999994
