date,period,forecast_eps,actual_eps
1/15/2015,1,0.49,0.5
4/16/2015,2,0.48,0.48
7/16/2015,3,0.37,0.5
10/15/2015,4,0.45,0.46
1/14/2016,5,0.4,0.43
4/14/2016,6,0.37,0.38
7/14/2016,7,0.42,0.43
10/13/2016,8,--,0.59
1/12/2017,9,0.58,0.61
4/13/2017,10,0.53,0.54
7/13/2017,11,0.56,0.42
10/19/2017,12,0.56,0.57
1/18/2018,13,0.63,0.64
4/19/2018,14,0.6,0.59
7/19/2018,15,0.45,0.47
10/18/2018,16,--,0.56
1/17/2019,17,0.63,0.63
4/18/2019,18,0.38,0.38
7/18/2019,19,0.42,0.41
10/17/2019,20,--,0.62
1/16/2020,21,0.72,0.73
4/16/2020,22,0.66,0.75
7/16/2020,23,0.73,0.78
10/15/2020,24,0.92,0.9
1/14/2021,25,0.92,0.97
4/15/2021,26,0.91,0.96
7/15/2021,27,0.89,0.93
10/14/2021,28,1.05,1.08
1/13/2022,29,1.12,1.15
4/14/2022,30,1.31,1.4
7/14/2022,31,1.5,1.55
10/13/2022,32,1.69,1.79
1/12/2023,33,1.8,1.82
4/20/2023,34,1.21,1.31
7/20/2023,35,1.07,1.14
10/19/2023,36,1.16,1.29
1/18/2024,37,1.37,1.44
4/18/2024,38,1.29,1.38
7/18/2024,39,1.37,1.48
10/17/2024,40,1.74,1.94
1/16/2025,41,2.16,2.24
4/17/2025,42,2.03,2.12
